CountryName,CountryCode,Year,GDP per capita (constant LCU),GDP per capita growth (annual %),"Life expectancy at birth, total (years)",PM2.5 level
Montenegro,MNE,2009,4919.85,-5.997,75.14,25.29
Montenegro,MNE,2010,5045.12,2.546,75.99,24.95
Montenegro,MNE,2011,5202.53,3.12,75.98,28.01
Montenegro,MNE,2012,5056.57,-2.806,76.2,26.23
Montenegro,MNE,2013,5230.92,3.448,76.49,23.96
Montenegro,MNE,2014,5319.06,1.685,76.44,23.77
Montenegro,MNE,2015,5496.31,3.332,76.45,23.42
Montenegro,MNE,2016,5657.1,2.925,76.44,21.54
Montenegro,MNE,2017,5923.25,4.705,76.49,21.94
Montenegro,MNE,2018,6225.49,5.103,76.84,22.78
Montenegro,MNE,2019,6480.5,4.096,76.68,18.98
Montenegro,MNE,2020,5494.92,-15.208,75.93,18.49
Netherlands,NLD,2000,36463.7,3.454,77.99,18.99
Netherlands,NLD,2001,37031.6,1.557,78.19,17.2
Netherlands,NLD,2002,36875.94,-0.42,78.29,17.87
Netherlands,NLD,2003,36759.48,-0.316,78.49,19.46
Netherlands,NLD,2004,37359.1,1.631,79.1,17.5
Netherlands,NLD,2005,38036.31,1.813,79.35,17.2
Netherlands,NLD,2006,39289.59,3.295,79.7,18.09
Netherlands,NLD,2007,40683.33,3.547,80.1,16.8
Netherlands,NLD,2008,41404.79,1.773,80.25,15.85
Netherlands,NLD,2009,39681.92,-4.161,80.55,15.55
Netherlands,NLD,2010,40009,0.824,80.7,16.16
Netherlands,NLD,2011,40440.55,1.079,81.2,16.02
Netherlands,NLD,2012,39876.03,-1.396,81.1,14.24
Netherlands,NLD,2013,39706.89,-0.424,81.3,13.19
Netherlands,NLD,2014,40127.42,1.059,81.71,12.51
Netherlands,NLD,2015,40732.65,1.508,81.51,13.01
Netherlands,NLD,2016,41404.46,1.649,81.56,11.86
Netherlands,NLD,2017,42358.54,2.304,81.76,12.6
Netherlands,NLD,2018,43106.14,1.765,81.81,11.97
Netherlands,NLD,2019,43662.16,1.29,82.11,11.27
Netherlands,NLD,2020,41732.93,-4.419,81.36,10.79
North Macedonia,MKD,2000,138077.82,4.074,72.95,41.08
North Macedonia,MKD,2001,133281.44,-3.474,73.44,38.99
North Macedonia,MKD,2002,136258.22,2.233,73.04,42.42
North Macedonia,MKD,2003,139109.86,2.093,73.24,45.45
North Macedonia,MKD,2004,146084.24,5.014,73.6,40.22
North Macedonia,MKD,2005,153813.59,5.291,73.7,40.71
North Macedonia,MKD,2006,162610.5,5.719,73.9,41.73
North Macedonia,MKD,2007,174128.42,7.083,73.8,35.5
North Macedonia,MKD,2008,184722.44,6.084,74.4,35.75
North Macedonia,MKD,2009,185254.41,0.288,74.45,36.13
North Macedonia,MKD,2010,192704.82,4.022,75,36.61
North Macedonia,MKD,2011,198119.85,2.81,75.1,42.95
North Macedonia,MKD,2012,197990.38,-0.065,74.9,38.38
North Macedonia,MKD,2013,204535.15,3.306,75.4,34.94
North Macedonia,MKD,2014,212528.23,3.908,75.45,36.06
North Macedonia,MKD,2015,221314.77,4.134,75.4,34.04
North Macedonia,MKD,2016,228348.65,3.178,75.4,32.07
North Macedonia,MKD,2017,231749.6,1.489,75.95,32.48
North Macedonia,MKD,2018,239637.79,3.404,76.65,33.06
North Macedonia,MKD,2019,250705.92,4.619,76.6,27.6
North Macedonia,MKD,2020,241544.21,-3.654,74.4,27.86
Norway,NOR,2000,547126.26,2.651,78.63,10.52
Norway,NOR,2001,555617.27,1.552,78.79,9.14
Norway,NOR,2002,560241.72,0.832,78.99,9.42
Norway,NOR,2003,562228.15,0.355,79.39,10.2
Norway,NOR,2004,581353.73,3.402,79.84,8.76
Norway,NOR,2005,592911.85,1.988,80.04,8.65
Norway,NOR,2006,602633.05,1.64,80.34,10.01
Norway,NOR,2007,613809.74,1.855,80.4,8.56
Norway,NOR,2008,609128.54,-0.763,80.59,8.24
Norway,NOR,2009,589823.69,-3.169,80.8,8.44
Norway,NOR,2010,587106.78,-0.461,81,7.88
Norway,NOR,2011,585947.8,-0.197,81.3,8.7
Norway,NOR,2012,594020.05,1.378,81.45,7.34
Norway,NOR,2013,592844.59,-0.198,81.75,7.06
Norway,NOR,2014,598202.5,0.904,82.1,7.11
Norway,NOR,2015,603280.03,0.849,82.3,6.78
Norway,NOR,2016,604953.58,0.277,82.41,6.25
Norway,NOR,2017,614871.84,1.64,82.61,6.54
Norway,NOR,2018,615889.63,0.166,82.76,6.71
Norway,NOR,2019,618620.67,0.443,82.96,6.39
Norway,NOR,2020,607128.58,-1.858,83.21,6.06
Poland,POL,2000,27683.66,5.659,73.75,25.58
Poland,POL,2001,28039.82,1.287,74.2,25.55
Poland,POL,2002,28623.92,2.083,74.5,29.64
Poland,POL,2003,29645.3,3.568,74.6,30.36
Poland,POL,2004,31140.7,5.044,74.85,26.33
Poland,POL,2005,32246.92,3.552,75,27.54
Poland,POL,2006,34245.72,6.198,75.14,29.69
Poland,POL,2007,36683.9,7.12,75.24,24.14
Poland,POL,2008,38219.41,4.186,75.54,23.16
Poland,POL,2009,39275.23,2.763,75.7,24.26
Poland,POL,2010,40543.45,3.229,76.25,26.75
Poland,POL,2011,42564.83,4.986,76.7,26.34
Poland,POL,2012,43222.65,1.545,76.75,23.94
Poland,POL,2013,43619.2,0.917,77,23.01
Poland,POL,2014,45326.77,3.915,77.6,23.27
Poland,POL,2015,47345.11,4.453,77.45,22.25
Poland,POL,2016,48764.41,2.998,77.85,21.09
Poland,POL,2017,51264.51,5.127,77.75,22.1
Poland,POL,2018,54312.4,5.945,77.6,22.26
Poland,POL,2019,56743.16,4.476,77.9,18.64
Poland,POL,2020,55694.32,-1.848,76.5,17.84
Portugal,PRT,2000,16939.89,3.089,76.31,13.63
Portugal,PRT,2001,17147.79,1.227,76.81,13.06
Portugal,PRT,2002,17185.61,0.221,77.07,13.02
Portugal,PRT,2003,16961.9,-1.302,77.22,13.87
Portugal,PRT,2004,17224.06,1.546,77.67,12.35
Portugal,PRT,2005,17326.55,0.595,78.07,12.65
Portugal,PRT,2006,17576.39,1.442,78.42,13.25
Portugal,PRT,2007,17981.62,2.306,78.32,12.66
Portugal,PRT,2008,18013.04,0.175,78.52,10.97
Portugal,PRT,2009,17434.03,-3.214,78.73,11.03
Portugal,PRT,2010,17728.83,1.691,79.03,10.54
Portugal,PRT,2011,17453.77,-1.551,80.47,11.24
Portugal,PRT,2012,16813.65,-3.668,80.37,9.87
Portugal,PRT,2013,16750.19,-0.377,80.72,9.56
Portugal,PRT,2014,16974.16,1.337,81.12,9.28
Portugal,PRT,2015,17350.05,2.214,81.12,9.45
Portugal,PRT,2016,17756.36,2.342,81.12,8.64
Portugal,PRT,2017,18423.84,3.759,81.42,9.08
Portugal,PRT,2018,18979.16,3.014,81.32,8.84
Portugal,PRT,2019,19483.7,2.658,81.68,7.85
Portugal,PRT,2020,17847.68,-8.397,80.98,8.29
Romania,ROU,2000,9715.61,2.594,71.16,20.21
Romania,ROU,2001,10366.23,6.697,71.16,20.25
Romania,ROU,2002,11159.86,7.656,71.01,22.93
Romania,ROU,2003,11503.8,3.082,71.31,23.69
Romania,ROU,2004,12776.02,11.059,71.56,20.83
Romania,ROU,2005,13455.26,5.317,71.91,21.26
Romania,ROU,2006,14621.92,8.671,72.16,22.43
Romania,ROU,2007,15912.99,8.83,72.57,18.15
Romania,ROU,2008,17686.36,11.144,72.57,18.31
Romania,ROU,2009,16850.33,-4.727,73.31,18.97
Romania,ROU,2010,16289.43,-3.329,73.46,19.84
Romania,ROU,2011,17109.18,5.032,74.41,21.16
Romania,ROU,2012,17516.34,2.38,74.41,19.24
Romania,ROU,2013,17628.96,0.643,75.06,17.7
Romania,ROU,2014,18424.28,4.511,74.91,17.78
Romania,ROU,2015,19096.13,3.647,74.91,17.25
Romania,ROU,2016,19754.81,3.449,75.21,16.27
Romania,ROU,2017,21497.92,8.824,75.21,16.52
Romania,ROU,2018,22928.34,6.654,75.36,16.64
Romania,ROU,2019,23937.58,4.402,75.61,14.24
Romania,ROU,2020,23184.61,-3.146,74.25,13.85
Russian Federation,RUS,2000,333638.72,10.464,65.48,20.83
Russian Federation,RUS,2001,352144.72,5.547,65.38,20.9
Russian Federation,RUS,2002,370395.5,5.183,65.13,22.45
Russian Federation,RUS,2003,399241.78,7.788,65.03,18.71
Russian Federation,RUS,2004,429713.88,7.632,65.47,17.85
Russian Federation,RUS,2005,458962.81,6.807,65.53,16.07
Russian Federation,RUS,2006,498226.81,8.555,66.73,16.03
Russian Federation,RUS,2007,541501.63,8.686,67.59,14.02
Russian Federation,RUS,2008,569909.94,5.246,67.95,14.15
Russian Federation,RUS,2009,525298.81,-7.828,68.68,15.1
Russian Federation,RUS,2010,548690.88,4.453,68.84,17.11
Russian Federation,RUS,2011,571609.56,4.177,69.68,13.57
Russian Federation,RUS,2012,593117.63,3.763,70.07,13.45
Russian Federation,RUS,2013,601736.5,1.453,70.58,13.99
Russian Federation,RUS,2014,594985.38,-1.122,70.74,14.34
Russian Federation,RUS,2015,581442.25,-2.276,71.18,12.47
Russian Federation,RUS,2016,580916.13,-0.09,71.65,12.21
Russian Federation,RUS,2017,590291.38,1.614,72.45,11.7
Russian Federation,RUS,2018,606327.19,2.717,72.66,12.27
Russian Federation,RUS,2019,619314.88,2.142,73.08,11.16
Russian Federation,RUS,2020,603666,-2.527,71.34,10.39
San Marino,SMR,2000,45446.07,0.583,,15.6
San Marino,SMR,2001,47082.49,3.601,,14.35
San Marino,SMR,2002,46158.25,-1.963,,14.64
San Marino,SMR,2003,46886.47,1.578,,15.55
San Marino,SMR,2004,48190.29,2.781,,13.67
San Marino,SMR,2005,48664.77,0.985,,14.3
San Marino,SMR,2006,49768.02,2.267,,14.46
San Marino,SMR,2007,52581.32,5.653,,13.34
San Marino,SMR,2008,51758.96,-1.564,,12.69
San Marino,SMR,2009,45880.42,-11.358,,12.87
San Marino,SMR,2010,42615.79,-7.116,,11.86
San Marino,SMR,2011,38005.85,-10.817,,12.86
San Marino,SMR,2012,34649.28,-8.832,,12
San Marino,SMR,2013,34219.62,-1.24,,11.54
San Marino,SMR,2014,33873.43,-1.012,,11.48
San Marino,SMR,2015,34462.82,1.74,,11.96
San Marino,SMR,2016,34995.56,1.546,,10.96
San Marino,SMR,2017,34857.23,-0.395,,11.3
San Marino,SMR,2018,35274.38,1.197,,11.76
San Marino,SMR,2019,35979.87,2,,10.51
San Marino,SMR,2020,33756.85,-6.179,,10.6
Serbia,SRB,2000,347463.06,6.471,71.58,31.26
Serbia,SRB,2001,372003.36,7.063,72.23,31.86
Serbia,SRB,2002,396103.51,6.478,72.29,34.42
Serbia,SRB,2003,414364.15,4.61,72.44,37.33
Serbia,SRB,2004,452829.1,9.283,72.68,32.35
Serbia,SRB,2005,479309.96,5.848,72.83,33.6
Serbia,SRB,2006,505776.94,5.522,73.39,35
Serbia,SRB,2007,540533.78,6.872,73.63,28.19
Serbia,SRB,2008,573540.49,6.106,73.89,28.3
Serbia,SRB,2009,560114.32,-2.341,73.99,29.42
Serbia,SRB,2010,566481.72,1.137,74.34,31.83
Serbia,SRB,2011,582598.18,2.845,74.54,34.04
Serbia,SRB,2012,581442.43,-0.198,74.84,30.47
Serbia,SRB,2013,601179.63,3.395,75.19,28.63
Serbia,SRB,2014,594407.96,-1.126,75.34,27.99
Serbia,SRB,2015,608144.82,2.311,75.29,28.04
Serbia,SRB,2016,631748.04,3.881,75.69,25.66
Serbia,SRB,2017,648464.01,2.646,75.54,26.44
Serbia,SRB,2018,681325.53,5.068,75.89,27.37
Serbia,SRB,2019,714663.43,4.893,75.94,22.79
Serbia,SRB,2020,712941.64,-0.241,74.48,22.63
Slovak Republic,SVK,2000,8034.7,1.304,73.05,21.22
Slovak Republic,SVK,2001,8311.32,3.443,73.4,21.54
Slovak Republic,SVK,2002,8689.28,4.547,73.6,24.4
Slovak Republic,SVK,2003,9173.14,5.569,73.6,25.44
Slovak Republic,SVK,2004,9659.35,5.3,73.96,22.08
Slovak Republic,SVK,2005,10298.12,6.613,73.9,23.18
Slovak Republic,SVK,2006,11172.25,8.488,74.2,24.54
Slovak Republic,SVK,2007,12378.82,10.8,74.21,19.66
Slovak Republic,SVK,2008,13057.72,5.484,74.7,19.38
Slovak Republic,SVK,2009,12328.91,-5.581,74.91,20.23
Slovak Republic,SVK,2010,13144.74,6.617,75.11,21.3
Slovak Republic,SVK,2011,13478.51,2.539,75.96,22.37
Slovak Republic,SVK,2012,13633.04,1.147,76.11,20.18
Slovak Republic,SVK,2013,13704.57,0.525,76.41,19.43
Slovak Republic,SVK,2014,14060.56,2.598,76.81,19.12
Slovak Republic,SVK,2015,14773.04,5.067,76.56,19.04
Slovak Republic,SVK,2016,15040.82,1.813,77.17,17.74
Slovak Republic,SVK,2017,15458.72,2.778,77.17,18.04
Slovak Republic,SVK,2018,16059.51,3.886,77.27,18.53
Slovak Republic,SVK,2019,16440.54,2.373,77.67,15.72
Slovak Republic,SVK,2020,15879.49,-3.413,76.87,15.27
Spain,ESP,2000,21575.21,4.776,78.97,16.1
Spain,ESP,2001,22268.66,3.214,79.37,15.08
Spain,ESP,2002,22555.92,1.29,79.57,15.22
Spain,ESP,2003,22812.22,1.136,79.62,15.61
Spain,ESP,2004,23122.16,1.359,79.87,14.5
Spain,ESP,2005,23565.12,1.916,80.17,14.49
Spain,ESP,2006,24120.74,2.358,80.82,15.13
Spain,ESP,2007,24531.89,1.705,80.87,14.53
Spain,ESP,2008,24357.8,-0.71,81.18,13
Spain,ESP,2009,23234.48,-4.612,81.48,13.12
Spain,ESP,2010,23165.43,-0.297,81.63,12.45
Spain,ESP,2011,22895.28,-1.166,82.48,13.43
Spain,ESP,2012,22203.4,-3.022,82.43,12.08
Spain,ESP,2013,21963.66,-1.08,83.08,11.3
Spain,ESP,2014,22336.9,1.699,83.23,10.64
Spain,ESP,2015,23212.31,3.919,82.83,11.34
Spain,ESP,2016,23897.27,2.951,83.33,10.41
Spain,ESP,2017,24550.73,2.734,83.28,10.53
Spain,ESP,2018,25001.84,1.837,83.43,10.28
Spain,ESP,2019,25315.52,1.255,83.83,9.47
Spain,ESP,2020,22378.87,-11.6,82.33,9.69
Sweden,SWE,2000,346816.64,4.598,79.64,9.71
Sweden,SWE,2001,350900.41,1.178,79.8,8.15
Sweden,SWE,2002,357444.26,1.865,79.85,8.53
Sweden,SWE,2003,364342.33,1.93,80.1,9.45
Sweden,SWE,2004,378651.17,3.927,80.5,8.07
Sweden,SWE,2005,387921.49,2.448,80.55,8.44
Sweden,SWE,2006,403732.06,4.076,80.75,9.4
Sweden,SWE,2007,414531.9,2.675,80.9,8.23
Sweden,SWE,2008,409461.89,-1.223,81.1,7.59
Sweden,SWE,2009,388369.43,-5.151,81.35,7.68
Sweden,SWE,2010,407992.49,5.053,81.45,7.84
Sweden,SWE,2011,417861.78,2.419,81.8,7.92
Sweden,SWE,2012,412341.82,-1.321,81.7,6.62
Sweden,SWE,2013,413718.98,0.334,81.96,6.57
Sweden,SWE,2014,420521.53,1.644,82.25,6.77
Sweden,SWE,2015,434777.95,3.39,82.2,6.31
Sweden,SWE,2016,438239.42,0.796,82.31,5.7
Sweden,SWE,2017,443477.03,1.195,82.41,6.07
Sweden,SWE,2018,446903.23,0.773,82.56,6.29
Sweden,SWE,2019,451182.6,0.958,83.11,6.06
Sweden,SWE,2020,438212.53,-2.875,82.36,5.64
Switzerland,CHE,2000,70975.56,3.376,79.68,16.18
Switzerland,CHE,2001,71639.15,0.935,80.18,15.4
Switzerland,CHE,2002,71047.21,-0.826,80.39,14.99
Switzerland,CHE,2003,70499.2,-0.771,80.54,16.26
Switzerland,CHE,2004,71907.87,1.998,81.09,13.78
Switzerland,CHE,2005,73413.32,2.094,81.24,14.24
Switzerland,CHE,2006,75925.93,3.423,81.49,15.21
Switzerland,CHE,2007,78197.5,2.992,81.74,13.64
Switzerland,CHE,2008,79378.24,1.51,81.99,13.32
Switzerland,CHE,2009,76591.62,-3.511,82.04,14.11
Switzerland,CHE,2010,78256.44,2.174,82.25,13.16
Switzerland,CHE,2011,78794.33,0.687,82.7,13.76
Switzerland,CHE,2012,78881.48,0.111,82.7,12.6
Switzerland,CHE,2013,79377.14,0.628,82.8,12.36
Switzerland,CHE,2014,80257.19,1.109,83.2,10.55
Switzerland,CHE,2015,80653.76,0.494,82.9,11.63
Switzerland,CHE,2016,81428.14,0.96,83.6,10.58
Switzerland,CHE,2017,81771.22,0.421,83.55,9.86
Switzerland,CHE,2018,83492.93,2.106,83.75,10.08
Switzerland,CHE,2019,83846.18,0.423,83.9,9.39
Switzerland,CHE,2020,81453.08,-2.854,83,9
Ukraine,UKR,2000,36325.9,6.971,67.68,26.17
Ukraine,UKR,2001,39940.12,9.949,67.84,26.06
Ukraine,UKR,2002,42474.22,6.345,68.28,27.24
Ukraine,UKR,2003,46895.29,10.409,68.21,23.05
Ukraine,UKR,2004,52825.96,12.647,68.19,21.74
Ukraine,UKR,2005,54848.82,3.829,67.96,20.95
Ukraine,UKR,2006,59401.9,8.301,68.08,19.6
Ukraine,UKR,2007,64667.1,8.864,68.22,18.29
Ukraine,UKR,2008,66476.9,2.799,68.25,17.31
Ukraine,UKR,2009,56665.59,-14.759,69.19,18.03
Ukraine,UKR,2010,59219.14,4.506,70.27,18.84
Ukraine,UKR,2011,62668.74,5.825,70.81,18.5
Ukraine,UKR,2012,62919.39,0.4,70.94,17.75
Ukraine,UKR,2013,63091.48,0.273,71.16,17.98
Ukraine,UKR,2014,60015.61,-4.875,71.19,17.57
Ukraine,UKR,2015,54347.84,-9.444,71.19,16.91
Ukraine,UKR,2016,55899.36,2.855,71.48,15.46
Ukraine,UKR,2017,57470.49,2.811,71.78,14.87
Ukraine,UKR,2018,59778.73,4.016,71.58,16.28
Ukraine,UKR,2019,62046.57,3.794,71.83,14.75
Ukraine,UKR,2020,60122.09,-3.102,71.19,14.14
United Kingdom,GBR,2000,25473.9,3.947,77.74,15.76
United Kingdom,GBR,2001,26030.4,2.185,77.99,13.94
United Kingdom,GBR,2002,26384.93,1.362,78.14,14.42
United Kingdom,GBR,2003,27088.72,2.667,78.45,17
United Kingdom,GBR,2004,27588.61,1.845,78.75,13.72
United Kingdom,GBR,2005,28150.27,2.036,79.05,14.17
United Kingdom,GBR,2006,28610.94,1.636,79.25,14.22
United Kingdom,GBR,2007,29132.91,1.824,79.45,13.92
United Kingdom,GBR,2008,28839.28,-1.008,79.6,13.48
United Kingdom,GBR,2009,27301.07,-5.334,80.05,12.54
United Kingdom,GBR,2010,27694.31,1.44,80.4,12.21
United Kingdom,GBR,2011,27793.38,0.358,80.95,12.75
United Kingdom,GBR,2012,28018.37,0.81,80.9,11.26
United Kingdom,GBR,2013,28330.17,1.113,81,11.16
United Kingdom,GBR,2014,29021.03,2.439,81.3,10.59
United Kingdom,GBR,2015,29431.24,1.413,80.96,10.25
United Kingdom,GBR,2016,29770.15,1.152,81.16,9.83
United Kingdom,GBR,2017,30353.66,1.96,81.26,10.18
United Kingdom,GBR,2018,30593.82,0.791,81.26,10.04
United Kingdom,GBR,2019,30921.12,1.07,81.4,9.75
United Kingdom,GBR,2020,27616.53,-10.687,80.35,9.71
